title,content
Arrondissement_of_Neufchâteau_Vosges,"The arrondissement of Neufchâteau is an arrondissement of France in the Vosges department in the Grand Est region. It has 175 communes. Its population is 53,669 (2016), and its area is 1,817.4 km2 (701.7 sq mi).


== Composition ==
The communes of the arrondissement of Neufchâteau are:


== History ==
The arrondissement of Neufchâteau was created in 1800. In January 2013 the two cantons of Darney and Monthureux-sur-Saône passed from the arrondissement of Épinal to the arrondissement of Neufchâteau. At the January 2019 reorganisation of the arrondissements of Vosges, it lost 32 communes to and gained 2 communes from the arrondissement of Épinal.
As a result of the reorganisation of the cantons of France which came into effect in 2015, the borders of the cantons are no longer related to the borders of the arrondissements. The cantons of the arrondissement of Neufchâteau were, as of January 2015:


== References =="
Arrondissement_of_Épinal,"The arrondissement of Épinal is an arrondissement of France in the Vosges department in the Grand Est region. It has 236 communes. Its population is 204,222 (2016), and its area is 2,598.2 km2 (1,003.2 sq mi).


== Composition ==
The communes of the arrondissement of Épinal, and their INSEE codes are:


== History ==
The arrondissement of Épinal was created in 1800. In January 2013 the two cantons of Darney and Monthureux-sur-Saône passed from the arrondissement of Épinal to the arrondissement of Neufchâteau. At the January 2019 reorganisation of the arrondissements of Vosges, it lost 2 communes to and gained 32 communes from the arrondissement of Neufchâteau, and it lost 15 communes to and gained 7 communes from the arrondissement of Saint-Dié-des-Vosges.
As a result of the reorganisation of the cantons of France which came into effect in 2015, the borders of the cantons are no longer related to the borders of the arrondissements. The cantons of the arrondissement of Épinal were, as of January 2015:


== References =="
Basilica_of_Saint-Nicolas_Saint-Nicolas-de-Port,"The Basilica of Saint Nicholas (French: Basilique Saint-Nicolas) is a minor basilica in the town of Saint-Nicolas-de-Port in Grand Est, France. It is a pilgrimage site, supposedly holding relics of Saint Nicholas brought from Italy.


== Background ==
Nicolas became the patron saint of the Duchy of Lorraine. The current basilica was built in the 15th and 16th centuries and has fine Renaissance painted glass windows by Nicolas Droguet of Lyon, Valentin Bousch of Strasbourg, Hans von Kulmbach and Veit Hirsvogel from Nuremberg, Georges Millereau and other unknown artists, as well as 19th century replacements for lost glass works. It has been a French Monument historique since 1840, and a minor basilica since 1950.


== References =="
Batilly_Meurthe-et-Moselle,"Batilly (French pronunciation: [batiji] ) is a commune in the Meurthe-et-Moselle department in northeastern France.


== Population ==


== SOVAB ==
Batilly is home to Société de Véhicules Automobiles de Batilly (SOVAB), which is a major automotive factory. The Renault Master is produced here, as well as badge engineered versions by Opel, Nissan and Vauxhall. Providing 2,700 jobs, the factory is a major centre of employment in the region.


== See also ==
Communes of the Meurthe-et-Moselle department


== References =="
Belfries_of_Belgium_and_France,"The Belfries of Belgium and France are a group of 56 historical buildings designated by UNESCO as World Heritage Sites, in recognition of the civic (rather than church) belfries serving as an architectural manifestation of emerging civic independence from feudal and religious influences in the former County of Flanders (present-day French Flanders area of France and Flanders region of Belgium) and neighbouring areas which once were possessions of the House of Burgundy (in present-day Wallonia of Belgium).
The World Heritage Site was originally called the Belfries of Flanders and Wallonia, a 1999 UNESCO list of 32 towers in those two regions of Belgium. In 2005, the list was expanded and given its current name, recognizing the addition of 23 belfries from the Nord-Pas-de-Calais and Picardy regions in the north-eastern tip of France, plus the belfry of Gembloux in Wallonia. 
Despite the list being concerned with civic tower structures, it includes six Belgian church towers (note the ""cathedral""s, ""church""es and ""basilica"" in the list below) under the pretext that they had served as watchtowers or alarm bell towers.
Most of the structures in this list are towers projecting from larger buildings. However, a few are notably standalone, of which, a handful are rebuilt towers formerly connected to adjacent buildings. One notable omission may seem the tower of Brussels' Town Hall, but this is not an actual belfry. The original Belfry of Brussels was located next to the Church of St. Nicholas, until its collapse in 1714. As a side note, Brussels' Town Hall is part of the Grand-Place World Heritage Site.


== List of belfries ==


== See also ==
List of World Heritage Sites in Belgium
List of World Heritage Sites in France


== Notes ==


== References ==


== External links ==

Brief description of the ensemble ID 943/943bis, UNESCO Website
Detailed argumentation for list ID 943/943bis, UNESCO Website
The complete list ID 943/943bis, UNESCO Website (monuments ordered by UNESCO ID, which precedes the corresponding monument in this Wikipedia article's main list)
Articles on the phenomenon of the belfries from the Flemish Department of Monuments and Landscapes
The Belgian belfries on the UNESCO list ID 943 (without Gembloux) with photographs  and slideshows – from the Flemish Department of Monuments and Landscapes
(in French) The French belfries on the UNESCO list ID 943bis Archived 18 March 2013 at the Wayback Machine with photographs  and descriptions; and a general article
(in French) The French belfries on the UNESCO list ID 943bis with thumbnails, photographs and descriptions"
Bettainvillers,"Bettainvillers is a commune in the Meurthe-et-Moselle department in northeastern France.


== Population ==


== See also ==
Communes of the Meurthe-et-Moselle department


== References =="
Malzéville,"Malzéville (French pronunciation: [malzevil]) is a commune in the Meurthe-et-Moselle department in north-eastern France.


== Population ==


== Points of interest ==
Arboretum de l'Abiétinée


== See also ==
Communes of the Meurthe-et-Moselle department


== References =="
Maxéville,"Maxéville (French pronunciation: [maksevil] or [maʃevil]) is a commune in the Meurthe-et-Moselle department in north-eastern France.


== Population ==


== See also ==
Communes of the Meurthe-et-Moselle department


== References =="
Meurthe-et-Moselle,"Meurthe-et-Moselle (French pronunciation: [mœʁt e mɔzɛl] ) is a département in the Grand Est region of France, named after the rivers Meurthe and Moselle. Its prefecture and largest city is Nancy and it borders the departments of Meuse to the west, Vosges to the south, Moselle and Bas-Rhin and it borders the Belgian province of Luxembourg and the country of Luxembourg by the canton of Esch-sur-Alzette to the north. It had a population of 733,760 in 2019.


== History ==
Meurthe-et-Moselle was created in 1871 at the end of the Franco-Prussian War from the parts of the former departments of Moselle and Meurthe which remained French territory.
The current boundary between Meurthe-et-Moselle and Moselle was the border between France and Germany from 1871 to 1919 and again between 1940 and 1944. The only subsequent change took place in 1997 and involved the incorporation, for administrative reasons, of the little commune of Han-devant-Pierrepont which had previously fallen within the Meuse department.


== Geography ==
Meurthe-et-Moselle is part of the administrative region of Grand Est and the traditional region of Lorraine and is surrounded by the departments of Meuse, Vosges, Bas-Rhin, and Moselle, and by the nations of Luxembourg and Belgium by the salient of the Arrondissement of Briey. It is one of two departments in France which border with Luxembourg. Parts of Meurthe-et-Moselle belong to the Lorraine Regional Natural Park.
The department extends for 130 km from north to south and is between 7 and 103 km wide.
Its chief rivers are the Moselle, the Meurthe, the Chiers, and the Vezouze.


== Economy ==
The economy was highly dependent on mining until the 1960s. There are iron, salt, and lime extraction sites. The urban area around Nancy has an economy based largely on services, research, and higher education.


== Demographics ==
The inhabitants of the department are known as Meurthe-et-Mosellans. The area around Nancy has become highly urbanized, whereas the Saintois in the south is quite rural.

Population development since 1801:


=== Principal towns ===
The most populous commune is Nancy, the prefecture. As of 2019, there are 10 communes with more than 10,000 inhabitants:


== Politics ==

The president of the Departmental Council is Chaynesse Khirouni, elected in July 2021.


=== Presidential elections 2nd round ===


=== Current National Assembly Representatives ===


== Tourism ==

		
			
			
		
		
			
			
		
		
			
			
		
		
			
			
		
		
			
			
		


== See also ==
Arrondissements of the Meurthe-et-Moselle department
Cantons of the Meurthe-et-Moselle department
Communes of the Meurthe-et-Moselle department


== References ==


== External links ==

Prefecture website (in French)
Departmental council website Archived 13 August 2022 at the Wayback Machine (in French)
Tourism website (in French)"
Nancy_France,"Nancy is the prefecture of the northeastern French department of Meurthe-et-Moselle. It was the capital of the Duchy of Lorraine, which was annexed by France under King Louis XV in 1766 and replaced by a province, with Nancy maintained as capital. Following its rise to prominence in the Age of Enlightenment, it was nicknamed the ""capital of Eastern France"" in the late 19th century. The metropolitan area of Nancy had a population of 511,257 inhabitants at the 2018 census, making it the 16th-largest functional urban area in France and Lorraine's largest. The population of the city of Nancy proper is 104,885.
The motto of the city is Non inultus premor (Latin for 'I am not injured unavenged')—a reference to the thistle, which is a symbol of Lorraine. Place Stanislas, a large square built between 1752 and 1756 by architect Emmanuel Héré under the direction of Stanislaus I of Poland to link the medieval old town of Nancy and the new city built under Charles III, Duke of Lorraine in the 17th century, is now a UNESCO World Heritage Site, the first square in France to be given this distinction. The city also has many buildings listed as historical monuments and is one of the European centres of Art Nouveau thanks to the École de Nancy. Nancy is also a large university city; with the Centre Hospitalier Régional Universitaire de Brabois, the conurbation is home to one of the main health centres in Europe, renowned for its innovations in surgical robotics.


== History ==

The earliest signs of human settlement in the area date to 800 BC. Early settlers were likely attracted by easily mined iron ore and a ford in the river Meurthe. Its name is first attested as Nanciaco, possibly from a Gaulish personal name. A small fortified town named Nanciacum (Nancy) was built by Gérard, Duke of Lorraine around 1050.
Nancy was burned in 1218 at the end of the War of Succession of Champagne, and conquered by Emperor Frederick II. It was rebuilt in stone over the next few centuries as it grew in importance as the capital of the Duchy of Lorraine. Duke Charles the Bold of Burgundy, was defeated and killed in the Battle of Nancy in 1477; René II, Duke of Lorraine became the ruler.

		
			
			
		
		
			
			
		

Following the failure of both Emperor Joseph I and Emperor Charles VI to produce a son and heir, the Pragmatic Sanction of 1713 left the throne to the latter's next child. This turned out to be a daughter, Maria Theresa of Austria. In 1736, Emperor Charles arranged her marriage to Duke François of Lorraine, who reluctantly agreed to exchange his ancestral lands for the Grand Duchy of Tuscany.
The exiled Polish king Stanislaus I (Stanisław Leszczyński in Polish), father-in-law of the French king Louis XV, was then given the vacant duchy of Lorraine. Under his nominal rule, Nancy experienced growth and a flowering of Baroque culture and architecture. Stanislaus oversaw the construction of Place Stanislaus, a major square and development connecting the old medieval with a newer part of the city. Upon Stanislaus' death in February 1766, Lorraine and Barrois became a regular government of the Kingdom of France. A parlement for Lorraine and Barrois was established in Nancy in 1776.
As unrest surfaced within the French Armed Forces during the French Revolution, a full-scale mutiny, known as the Nancy affair, took place in Nancy in the latter part of summer 1790. A few units loyal to the government laid siege to the town and shot or imprisoned the mutineers.

		
			
			
		
		
			
			
		
		
			
			
		

In 1871, Nancy remained French when Germany annexed Alsace-Lorraine. In 1909 it hosted the Exposition Internationale de l'Est de la France between May and November.
Nancy was occupied by German forces beginning in 1940 and renamed Nanzig. During the Lorraine Campaign of World War II, Nancy was liberated from Nazi Germany by the US Third Army in September 1944, at the Battle of Nancy.
In 1988, Pope John Paul II visited Nancy. In 2005, French President Jacques Chirac, German Chancellor Gerhard Schröder and Polish President Aleksander Kwaśniewski inaugurated the renovated Place Stanislas, which was recognised as a UNESCO World Heritage Site in 1983.


== Geography ==
Nancy is situated on the left bank of the river Meurthe, about 10 km upstream from its confluence with the Moselle. The Marne–Rhine Canal runs through the city, parallel to the Meurthe. Nancy is surrounded by hills that are about 150 m higher than the city center, which is situated at 200 m above mean sea level. The area of Nancy proper is relatively small: 15 km2. Its built-up area is continuous with those of its adjacent suburbs. The neighboring communes of Nancy are: Jarville-la-Malgrange, Laxou, Malzéville, Maxéville, Saint-Max, Tomblaine, Vandœuvre-lès-Nancy and Villers-lès-Nancy.
The oldest part of Nancy is the quarter Vieille Ville – Léopold, which contains the 14th century Porte de la Craffe, the Palace of the Dukes of Lorraine, the Porte Désilles and the 19th century St-Epvre basilica. Adjacent to its south is the quarter Charles III – Centre Ville, which is the 16th–18th century ""new town"". This quarter contains the famous Place Stanislas, the Nancy Cathedral, the Opéra national de Lorraine and the main railway station.
The population of the city proper experienced a small decrease in population since 2007, placing it behind Metz as the second largest city in the Lorraine. However, the urban area of Metz experienced population decline from 1990 to 2010 while the urban area of Nancy grew over the same period, becoming the largest urban area in Lorraine and second largest in the ""Grand Est"" region of northeastern France. Within the Nancy metropolitan area in recent years, the city population declined slightly (2009–2014) at the roughly same time as a small increase in the population of its urban area (2006–2012).


=== Climate ===
Nancy has an oceanic climate (Köppen: Cfb), although a bit more extreme than most of the larger French cities. By the standards of France it is a ""continental"" climate with a certain degree of maritime (unrelated to the Köppen classification, since generally the whole country has a predominant mechanism favored by the West winds).
The temperatures have a distinct variation of the temperate zone, both during the day and between seasons but without being very different. Winters are cold and dry in freezing climates. Summers are not always sunny, but warm enough. Mists are frequent in autumn and the winds are light and not too violent. Precipitation tends to be less abundant than in the west of the country. Sunshine hours are almost identical to Paris and the snowy days are the same as Strasbourg (most similar weather conditions). Although the lowest recorded temperature is officially −26.8 °C, some sources consider temperatures from −30 °C on 10 December 1879 before continuous data.


== Demographics ==


== Main sights ==

The old city center's heritage dates from the Middle Ages to the 18th century. The cathedral of Nancy, the Triumphal Arch and the ""Place de la Carrière"" are a fine examples of 18th-century architecture. The Palace of the Dukes of Lorraine is the former princely residence of the rulers. The palace houses the Musée Lorrain.

A historic church is the Church of Notre-Dame-de-Bonsecours, Nancy, final resting place of the last duke Stanislas. Other notable churches are the Church of Saint-François-des-Cordeliers and the Basilica of Saint-Epvre, which have historical ties to the ducal House of Lorraine.The Place Stanislas named after king of Poland and duke of Lorraine Stanislaus I, Place de la Carrière, and Place d'Alliance were added on the World Heritage Sites list by the UNESCO in 1983.
The ""École de Nancy"", a group of artists and architects founded by the glassmaster and furniture maker Émile Gallé, worked in the art nouveau style at the end of the 19th century and the early 20th century. It was principally their work which made Nancy a center of art and architecture that rivaled Paris and helped give the city the nickname ""Capitale de l'Est"". The city still possesses many Art Nouveau buildings (mostly banks or private homes). Furniture, glassware, and other pieces of the decorative arts are conserved at the Musée de l'École de Nancy, which is housed in the 1909 villa of Eugène Corbin, a Nancy businessman and supporter of the Art Nouveau there. The Musée des Beaux-Arts has further collections of the art nouveau movement.
A major botanical garden, the Jardin botanique du Montet, is located at Villers-lès-Nancy. Other gardens of interest include the city's earliest botanical garden, the Jardin Dominique Alexandre Godron, and various other public gardens and places of interest including the Pépinière and Parc Sainte-Marie (public gardens). The town also has an aquarium. The surroundings of the train station are a busy commercial area.


== Culture ==

The city is known for its World Heritage buildings at the Place Stanislas, which was opened April 2005 by Jacques Chirac after refurbishment.At the turn of the 20th century, Nancy was a major center of the Art Nouveau with the École de Nancy. The city possesses a unique and interesting Musée de l'École de Nancy (School of Nancy Museum) with artworks by Émile Gallé, Louis Majorelle, Daum, Caravaggio, and others. Nancy also has other museums:
Museum of Fine Arts of Nancy (Musée des Beaux-Arts de Nancy) with painters from the 15th to 20th centuries, and a huge collection of Daum crystal displayed in part of the old fortifications of the city.
Lorraine History Museum dedicated to the history of the Duchy of Lorraine and arts (Jacques Callot collection, Georges de La Tour).
Aquarium and Natural History Museum of Nancy.
Musée de l'École de Nancy offers a testimony of the diversity of creative techniques practiced by the artists of this school, with a fine display of furniture, objets d'art, glassware, stained-glass, leather, ceramics, textiles, etc. from the period.
The Iron History Museum
The city is also the seat of the Diocese of Nancy and the home of the Opéra national de Lorraine. There is a network of libraries, the central of which is Bibliothèque municipale de Nancy.
Nancy is known for its macarons and bergamotes, candies flavored with bergamot essential oil.


== Universities and colleges ==

Nancy has a large number of institutions of higher learning:

University of Lorraine which merges:
Henri Poincaré University (Université Henri Poincaré, UHP, also known as Nancy 1)
Nancy 2 University (Université Nancy 2)
European University Centre
National Polytechnic Institute of Lorraine (Institut National Polytechnique de Lorraine or INPL)
École nationale supérieure des Mines de Nancy
École nationale supérieure des industries chimiques (ENSIC)
École nationale supérieure d'agronomie et des industries alimentaires (ENSAIA)
École européenne d'ingénieurs en génie des matériaux (EEIGM)
École nationale supérieure d'électricité et de mécanique (ENSEM)
École nationale supérieure de géologie (ENSG)
École nationale supérieure en génie des systèmes et de l'innovation (ENSGSI)
Telecom Nancy (ex-ESIAL)
École Polytechnique de l'Université de Lorraine (Polytech Nancy)
École des Beaux-Arts de Nancy
École nationale supérieure d'art de Nancy
School of architecture of Nancy (ENSA)
École pour l'informatique et les nouvelles technologies (EPITECH)
ICN Graduate Business School (Institut Commercial de Nancy)
Sciences Po Paris (French-German Undergraduate Campus)
Centre de Nancy-AgroParisTech
École Supérieure Robert de Sorbon
French National School of Forestry, est. 1824, in Nancy
Web@cademie


== Sports ==

Nancy is home to two of the three professional sport clubs in Lorraine: AS Nancy-Lorraine in football and SLUC Nancy in basketball. AS Nancy-Lorraine's Hall of Fame includes triple-Ballon d'Or and UEFA President Michel Platini, Arsenal manager Arsène Wenger, 1998 World Champion Aimé Jacquet, 2000 European Champion Roger Lemerre, 1998 African Ballon d'Or Mustapha Hadji, Irish legend Tony Cascarino, 1986 European Cup winner Sacha Zavarov and 1958 World Cup Semi-finalist Roger Piantoni.
AS Nancy-Lorraine won the French cup 1978 with captain Michel Platini who scored the only goal of the final (Nancy 1–0 Nice). More recently AS Nancy-Lorraine won the ""Coupe de la Ligue"" (French League Cup) in 2006 and reached fourth place in the French football league in 2007/2008.
SLUC Nancy won the last Korac European Cup in 2002, reached the finals of French championship of basketball (Pro A) four consecutive times and finally won his first trophy in 2008. Also winner of ""Semaine des As"" in 2005 and champion of 2nd league (pro B) in 1994.


== Prominent people from Nancy ==
Lambert-Sigisbert Adam (1700–1759), a lorrain sculptor.
François-Émile André (1871–1933), architect
Marie Henri d'Arbois de Jubainville (1827–1910), historian and philologist.
Charles Baudiot (1773–1849), cellist and composer
Najoua Belyzel (born 1981), singer
André Bernanose (1912–2002), chemist, physicist and pharmacologist
Louis-Émile Bertin (1840–1924), naval engineer
Jean Galli de Bibiena (1709–1779), playwright
René-Prosper Blondlot (1849–1930), physicist, best remembered for his mistaken identification of N rays
Stanislas de Boufflers (1738–1815), statesman and writer.
Jacques Callot (ca.1592–1635), baroque graphics artist, draftsman and printmaker.
Henri Cartan (1904–2008), mathematician
Charlotte Caubel (born 1972), magistrate, politician and minister
Maxime Chanot (born 1990), footballer
Paul Colin (1892–1985), poster artist
Marion Créhange (1937–2022), computer scientist
Grand Duchess Christina of Tuscany (1565–1637)
Lucien Cuénot (1866–1951), geneticist
Gérard Cuny (1925–1996), French gerontologist
Dominique Delestre (born 1955), racing driver
Matthieu Delpierre (born 1981), footballer
Gérard Paul Deshayes (1795–1875), geologist and conchologist.
Auguste Digot (1815–1864), historian of Lorraine
Antoine Drouot (1774–1847), one of Napoleon's generals
Joseph Ducreux (1735–1802), portrait painter, pastelist, miniaturist, and engraver
Prosper Guerrier de Dumast (1796–1883), proponent of Lotharingism
Pascal Dusapin (born 1955), composer
Gisèle d'Estoc (1845-1894), writer, sculptor, feminist
Lucien Febvre (1878–1956), historian
Adèle Ferrand (1817–1848), painter
Francis I, Holy Roman Emperor (1708–1765), duke of Lorraine and later Holy Roman Emperor
Émile Gallé (1846–1904), Art Nouveau artist
Edmond de Goncourt (1822–1896), author, critic, publisher, founder of the Académie Goncourt.
Jean Ignace Isidore Gérard Grandville (1803-1847), illustrator and caricaturist.
Gillian Henrion (born 2003), racing driver
François-Benoît Hoffman (1760–1828), playwright and critic.
Jean-Baptiste Isabey (1767–1855), painter.
François Jacob (1920–2013), biologist who won the 1965 Nobel Prize in Medicine.
Yves Lambert (1936–2021), aerospace engineer
Nicolas Liebault (1723–1795), collaborator of the Encyclopédie by Diderot and D'Alembert
Hubert Lyautey (1854–1934), Marshal of France
Louis Maimbourg (1610–1686), Jesuit and historian.
François René Mallarmé (1755–1835), statesman of the French Revolution.
Aimé Morot (1850–1913), painter
Charles Palissot de Montenoy (1730–1814), playwright
Michel Picard (born 1931), writer, winner of the 2007 Feuille d'or de la ville de Nancy
Michel Platini (b. 1955 in Jœuf), footballer
Henri Poincaré (1854–1912), mathematician, theoretical scientist and philosopher of science
Mlle Raucourt (1756–1815) a French actress, real name Françoise Marie Antoinette Saucerotte.
Éric Rohmer (1920–2010), film director
Pierre Roussel (1881–1945), archaeologist and epigrapher
Henri Royer (1869–1938), painter
Jean François de Saint-Lambert (1716–1803), poet, philosopher and military officer.
Pierre Schaeffer (1910–1995), noted as the inventor of musique concrète
Jean-Louis Schlesser (born 1948), racing driver
Charles Sellier, (1830–1882) painter
José Touré (born 1961), footballer
Arnaud Vincent (born 1974), motorcycle racer
Élise Voïart (1786–1866), writer and translator
Lucien Weissenburger (1860–1929), architect
Virginie Despentes (1969), writer and filmmaker.


== Economy ==


=== Business ===
Bellieni, a nineteenth and twentieth century camera maker


== Transport ==
The main railway station is Gare de Nancy-Ville, with direct connections to Paris (high-speed rail line), Metz, Lyon, Strasbourg and several regional destinations. The motorway A31 connects Nancy with Metz, Luxembourg and Langres.
A nearby regional airport Lorraine Airfield provides scheduled air service to several cities within France. 
Public transport within Nancy is provided by Service de Transport de l'Agglomération Nancéienne (STAN), operated by Veolia Transport, operating around 20 conventional bus routes and, until early 2023, the Tram by STAN, a guided busway based on Bombardier Transportation's Guided Light Transit (GLT) technology and using articulated trolleybuses that was running for approximately 10 km on the East-West axis.


== Heraldry ==

The coat of arms of Nancy displays a thistle, originally considered to be a symbol of Virgin Mary, and adopted as a personal symbol by René of Anjou and later by his descendant René II, Duke of Lorraine. Contrary to the Scottish thistle, the one of Lorraine is always shown with its roots. During the wars against Burgundy, the thistle became an emblem for the people of Lorraine as a whole. It officially became the attribute of the city of Nancy in 1575 when Charles III, Duke of Lorraine granted the city with its own coat of arms.
At first, the coat of arms of Nancy had a chief of Lorraine, which meant that the upper part showed the ducal arms, namely three alerions on a red bend. Later, the chief of Lorraine was replaced by a more complex one which gathers the former possessions of the Dukes of Lorraine. The upper row comprises from left to right the arms of the Kingdom of Hungary, the Kingdom of Naples, the Kingdom of Jerusalem and the Kingdom of Aragon, while the lower row comprises the Duchy of Anjou, the Duchy of Guelders, the Duchy of Jülich and the County of Bar. The inescutcheon is the coat of arms of Lorraine itself.
The coat of arms displays the motto, which appeared in the end of the 16th century. It was initially ""Nul ne s'y frotte"" (""no one attacks it""), but it was changed to Latin ""Non inultus premor"" in 1616. The motto has a similar meaning to the Scottish one, ""Nemo me impune lacessit"", usually translated as ""No one attacks me with impunity"", which also makes reference to the thistle. The coat of arms further displays the Legion of Honour, awarded to the city after the First World War, and the War Crosses 14–18 and 39–45.


== See also ==
Bibliography of the history of Nancy
N ray, a figment of local physicist René-Prosper Blondlot's imagination, named for Nancy.
Parc naturel régional de Lorraine
The great organ of Nancy Cathedral
List of twin towns and sister cities in France


== Notes ==


== References ==


== External links ==

City council website (in French)
Tourist office website (archived 2 July 2013)
Nancy Convention bureau (in French)
Place Stanislas Live Webcam
Phonebook of Nancy
""Young European Federalists in Nancy and around in Lorraine"" (in French). Archived from the original on 17 May 2012. Retrieved 1 October 2006.
Jardin botanique du Montet (Botanical Garden) (in French)


=== Art Nouveau-related links ===
Official website of le Musée de l'Ecole de Nancy (the museum of the Nancy style of Art Nouveau) (in French) (archived 18 August 2006)
Nancy tourism office page on the ""School of Nancy"" Museum
A walking tour of Nancy's Art Nouveau architecture including photos (in French) (archived 18 August 2006)"
